FROM_REACTION_ID	TYPE	TO_REACTION_ID
22866	is_a	18319
22867	is_a	18320
22884	is_a	31763
22885	is_a	31764
22886	is_a	31765
22887	is_a	31766
22900	is_a	10740
22901	is_a	10741
22902	is_a	10742
22903	is_a	10743
22912	is_a	19953
22913	is_a	19955
22914	is_a	19954
22915	is_a	19956
23004	is_a	58464
23005	is_a	58465
23006	is_a	58466
23007	is_a	58467
23016	is_a	54444
23017	is_a	54445
23018	is_a	54446
23019	is_a	54447
23052	is_a	17989
23053	is_a	17990
23054	is_a	17991
23055	is_a	17992
23100	is_a	11216
23101	is_a	11217
23102	is_a	11218
23103	is_a	11219
23152	is_a	46160
23153	is_a	46161
23154	is_a	46162
23155	is_a	46163
23172	is_a	17989
23173	is_a	17990
23174	is_a	17991
23175	is_a	17992
23200	is_a	11472
23201	is_a	11473
23202	is_a	11474
23203	is_a	11475
23356	is_a	17989
23357	is_a	17990
23358	is_a	17991
23359	is_a	17992
23368	is_a	11628
23369	is_a	11629
23370	is_a	11630
23371	is_a	11631
23444	is_a	34555
23445	is_a	34556
23446	is_a	34557
23447	is_a	34558
23452	is_a	12140
23453	is_a	12141
23454	is_a	12142
23455	is_a	12143
23488	is_a	46164
23489	is_a	46165
23490	is_a	46166
23491	is_a	46167
23552	is_a	10736
23553	is_a	10737
23554	is_a	10738
23555	is_a	10739
23592	is_a	15937
23593	is_a	15938
23594	is_a	15939
23595	is_a	15940
23716	is_a	45900
23717	is_a	45901
23718	is_a	45902
23719	is_a	45903
23724	is_a	18569
23725	is_a	18570
23726	is_a	18571
23727	is_a	18572
23768	is_a	53424
23769	is_a	53425
23770	is_a	53426
23771	is_a	53427
23780	is_a	57492
23781	is_a	57493
23782	is_a	57494
23783	is_a	57495
23816	is_a	18217
23817	is_a	18218
23818	is_a	18219
23819	is_a	18220
23952	is_a	10352
23953	is_a	10353
23954	is_a	10354
23955	is_a	10355
24004	is_a	25164
24004	is_a	47196
24005	is_a	25165
24005	is_a	47197
24006	is_a	25166
24006	is_a	47198
24007	is_a	25167
24007	is_a	47199
24076	is_a	10740
24077	is_a	10741
24078	is_a	10742
